name, order, depencies, score
transformers-lift, 214, 3, 2
writer-cps-transformers, 215, 3, 2
nsis, 216, 4, 1
monad-peel, 217, 4, 1
executable-path, 218, 3, 7
language-c, 219, 3, 2
deepseq, 220, 3, 568761
stm, 221, 3, 89535
fgl, 222, 4, 20
ix-shapable, 223, 3, 7
reinterpret-cast, 224, 3, 1
array-memoize, 225, 3, 1
logfloat, 226, 3, 1
BoundedChan, 227, 3, 1
zero, 228, 3, 2
boxes, 229, 3, 5
gpolyline, 230, 3, 2
comonad, 231, 6, 17125
pointed, 232, 3, 20
old-time, 233, 3, 372
data-default-instances-old-locale, 234, 4, 704
ghc-syb-utils, 235, 3, 4
markdown-unlit, 236, 3, 2
ansi-wl-pprint, 237, 3, 199
ansigraph, 238, 3, 2
distributive, 239, 5, 7148
stopwatch, 240, 4, 1
questioner, 241, 5, 1
fingertree-psqueue, 242, 3, 1
bindings-libzip, 243, 3, 2
hxt-unicode, 244, 3, 52
ghc-typelits-natnormalise, 245, 4, 28
storable-endian, 246, 3, 2
control-monad-free, 247, 4, 3
storable-record, 248, 4, 2
exact-pi, 249, 3, 2
errors, 250, 6, 32
tuple, 251, 3, 3
vector-space, 252, 5, 6
data-memocombinators, 253, 4, 1
mmorph, 254, 5, 9273
operational, 255, 4, 12
statestack, 256, 5, 7
microlens-mtl, 257, 6, 9
logict, 258, 4, 16
EdisonAPI, 259, 4, 4
cli, 260, 5, 2
state-plus, 261, 4, 2
MonadPrompt, 262, 4, 6
pattern-arrows, 263, 4, 2
stateref, 264, 4, 12
indentation-core, 265, 4, 2
prompt, 266, 6, 1
rev-state, 267, 4, 1
stateWriter, 268, 4, 1
IfElse, 269, 4, 1
pretty-types, 270, 5, 1
mtl-prelude, 271, 4, 1
atomic-primops, 272, 4, 11
monad-primitive, 273, 4, 3
data-accessor-mtl, 274, 5, 1
zot, 275, 4, 1
writer-cps-mtl, 276, 5, 1
bytestring, 277, 4, 216260
containers, 278, 4, 125118
time, 279, 4, 22200
vector, 280, 6, 15092
pretty, 281, 4, 32907
dlist, 282, 4, 3326
HUnit, 283, 4, 205
bytestring-builder, 284, 4, 2584
hourglass, 285, 4, 30703
deepseq-generics, 286, 4, 119
Decimal, 287, 4, 5
fixed-vector, 288, 6, 3
hset, 289, 6, 4
abstract-par, 290, 4, 34
spoon, 291, 4, 13
explicit-exception, 292, 5, 2
sorted-list, 293, 4, 1
transformers-base, 294, 6, 43327
async, 295, 4, 4269
StateVar, 296, 5, 21
stm-chans, 297, 4, 381
exception-transformers, 298, 6, 4
ref-fd, 299, 5, 5
stm-delay, 300, 4, 3
threads, 301, 4, 74
speculation, 302, 5, 1
concurrent-extra, 303, 5, 1
nano-erl, 304, 4, 1
monadic-arrays, 305, 6, 1
io-region, 306, 4, 1
both, 307, 4, 1
comonad-transformers, 308, 7, 1
comonads-fd, 309, 7, 1
generics-eot, 310, 4, 1
intervals, 311, 7, 18
pipes, 312, 6, 163
tardis, 313, 6, 1
operational-class, 314, 5, 1
unification-fd, 315, 5, 1
hashable, 316, 5, 34209
network, 317, 5, 7081
base64-bytestring, 318, 5, 6909
utf8-string, 319, 5, 686
byteable, 320, 5, 2759
zlib, 321, 5, 2594
base16-bytestring, 322, 5, 122
cryptonite, 323, 6, 6063
entropy, 324, 5, 445
mmap, 325, 5, 11
postgresql-libpq, 326, 5, 18
hsyslog, 327, 5, 3
haddock-library, 328, 6, 6
Win32, 329, 5, 3
curl, 330, 5, 4
gd, 331, 5, 3
cryptohash-sha256, 332, 5, 4
appar, 333, 5, 385
bytedump, 334, 5, 4
charsetdetect-ae, 335, 5, 5
murmur-hash, 336, 5, 2
bytestring-lexing, 337, 5, 7
unix-bytestring, 338, 5, 2
hex, 339, 5, 198
lazy-csv, 340, 5, 3
iconv, 341, 5, 4
knob, 342, 6, 2
ed25519, 343, 5, 3
sandi, 344, 6, 2
hslua, 345, 5, 5
bzlib, 346, 5, 3
scanner, 347, 5, 7
adler32, 348, 5, 1
hs-GeoIP, 349, 5, 1
utf8-light, 350, 5, 1
blake2, 351, 5, 1
farmhash, 352, 5, 1
siphash, 353, 6, 1
hid, 354, 6, 1
bytestring-handle, 355, 5, 1
fast-builder, 356, 5, 1
hopenssl, 357, 7, 1
pretty-hex, 358, 5, 1
socket, 359, 5, 1
hsass, 360, 10, 1
binary, 361, 6, 70152
QuickCheck, 362, 5, 225
cereal, 363, 6, 1710
parallel, 364, 5, 596
regex-applicative, 365, 6, 8
universe-instances-base, 366, 6, 9
tree-fun, 367, 7, 5
patience, 368, 5, 5
lens-family-core, 369, 6, 30
options, 370, 7, 4
monad-skeleton, 371, 5, 3
multimap, 372, 5, 6
data-default-instances-containers, 373, 6, 704
code-builder, 374, 5, 3
non-empty-sequence, 375, 6, 2
GraphSCC, 376, 5, 2
SafeSemaphore, 377, 6, 2
data-reify, 378, 5, 3
hoopl, 379, 5, 2
binary-search, 380, 6, 3
data-hash, 381, 5, 2
parseargs, 382, 5, 45
hscolour, 383, 5, 2
equivalence, 384, 9, 2
multiset, 385, 5, 2
io-storage, 386, 5, 5
multiset-comb, 387, 6, 3
tree-view, 388, 7, 3
uglymemo, 389, 5, 4
microlens-ghc, 390, 8, 6
tagshare, 391, 7, 15
rosezipper, 392, 5, 2
symbol, 393, 5, 2
drawille, 394, 5, 1
deriving-compat, 395, 5, 1
exp-pairs, 396, 6, 1
dependent-map, 397, 6, 1
IntervalMap, 398, 5, 1
happy, 399, 7, 1
arrow-list, 400, 7, 1
union-find, 401, 6, 1
boolsimplifier, 402, 5, 1
palette, 403, 6, 1
graph-wrapper, 404, 5, 1
frisby, 405, 7, 1
event, 406, 7, 1
network-house, 407, 7, 1
keycode, 408, 5, 1
data-check, 409, 5, 1
set-monad, 410, 5, 1
io-manager, 411, 5, 1
grouped-list, 412, 7, 1
rfc5051, 413, 6, 1
hierarchical-clustering, 414, 5, 1
pure-io, 415, 8, 1
directory, 416, 6, 13905
random, 417, 5, 3401
unix, 418, 6, 35
time-compat, 419, 7, 74
bytestring-progress, 420, 6, 2
monad-time, 421, 7, 1
snowflake, 422, 5, 1
bank-holidays-england, 423, 6, 1
iso8601-time, 424, 5, 1
hebrew-time, 425, 5, 1
varying, 426, 6, 1
leapseconds-announced, 427, 5, 1
friendly-time, 428, 6, 1
io-machine, 429, 5, 1
benchpress, 430, 8, 1
mwc-random, 431, 8, 307
matrix, 432, 8, 5
polynomials-bernstein, 433, 7, 2
spool, 434, 8, 2
matrices, 435, 7, 2
compactmap, 436, 7, 1
hybrid-vectors, 437, 7, 1
seqalign, 438, 8, 1
vector-buffer, 439, 7, 1
tzdata, 440, 9, 1
vector-fftw, 441, 8, 1
webrtc-vad, 442, 7, 1
maximal-cliques, 443, 8, 1
dimensional, 444, 9, 1
hsndfile-vector, 445, 8, 1
freenect, 446, 7, 1
dawg-ord, 447, 9, 1
histogram-fill, 448, 8, 1
template-haskell, 449, 6, 32105
pretty-show, 450, 7, 205
Diff, 451, 5, 18
smallcheck, 452, 8, 12
GenericPretty, 453, 5, 5
prettyclass, 454, 5, 3
djinn-lib, 455, 8, 4
smtLib, 456, 5, 2
presburger, 457, 6, 2
type-spec, 458, 6, 1
pretty-class, 459, 5, 1
dlist-instances, 460, 6, 9
data-default-instances-dlist, 461, 6, 704
text-postgresql, 462, 6, 3
c2hs, 463, 8, 1
hspec-expectations, 464, 5, 48
HUnit-approx, 465, 5, 1
should-not-typecheck, 466, 5, 1
asn1-types, 467, 7, 17934
hidapi, 468, 6, 1
kdt, 469, 6, 1
fixed-vector-hetero, 470, 7, 1
monad-control, 471, 7, 21966
elerea, 472, 9, 2
control-monad-loop, 473, 7, 2
io-memoize, 474, 5, 1
alarmclock, 475, 9, 1
terminal-progress-bar, 476, 6, 2
exception-mtl, 477, 8, 2
persistent-refs, 478, 9, 1
fold-debounce, 479, 8, 2
pipes-parse, 480, 7, 56
unordered-containers, 481, 6, 6667
void, 482, 7, 6814
hashtables, 483, 9, 22
psqueues, 484, 6, 208
concurrent-supply, 485, 6, 5
renderable, 486, 8, 1
ttrie, 487, 10, 1
range-set-list, 488, 8, 1
ctrie, 489, 9, 1
