name, order, depencies, score
tostring, 933, 11, 15
http-common, 934, 19, 2
through-text, 935, 10, 1
libxml-sax, 936, 9, 3
test-framework, 937, 16, 14
FontyFruity, 938, 15, 9
feed, 939, 14, 2
system-fileio, 940, 10, 11
stringable, 941, 9, 15
ReadArgs, 942, 9, 10
system-argv0, 943, 9, 1
acid-state, 944, 25, 17
ixset, 945, 19, 8
ixset-typed, 946, 20, 11
reroute, 947, 15, 11
xml-to-json-fast, 948, 13, 1
pcre-heavy, 949, 16, 4
secp256k1, 950, 17, 3
pango, 951, 18, 13
gio, 952, 12, 2
uuid, 953, 15, 31
incremental-parser, 954, 13, 3
picoparsec, 955, 15, 1
text-format, 956, 12, 7
tinylog, 957, 20, 2
encoding-io, 958, 16, 1
yi-rope, 959, 18, 4
sphinx, 960, 12, 1
process-extras, 961, 23, 4
Earley, 962, 17, 4
uu-parsinglib, 963, 17, 5
HDBC, 964, 15, 12
GLURaw, 965, 12, 11
language-c-quote, 966, 22, 1
Frames, 967, 20, 1
chell-quickcheck, 968, 19, 1
skeletons, 969, 16, 1
camfort, 970, 29, 1
sbv, 971, 26, 2
unfoldable-restricted, 972, 18, 3
JuicyPixels-scale-dct, 973, 19, 1
pixelated-avatar-generator, 974, 25, 1
tagged-binary, 975, 13, 1
DRBG, 976, 19, 1
resolve-trivial-conflicts, 977, 19, 1
optparse-text, 978, 17, 1
optparse-generic, 979, 21, 1
optparse-helper, 980, 13, 1
cartel, 981, 17, 1
hackage-db, 982, 14, 3
hackage-security, 983, 25, 2
jailbreak-cabal, 984, 12, 1
gtk2hs-buildtools, 985, 13, 1
cabal-sort, 986, 16, 1
sandman, 987, 20, 1
cabal-rpm, 988, 13, 1
cabal-file-th, 989, 14, 1
bumper, 990, 20, 1
haddock-api, 991, 19, 1
yes-precure5-command, 992, 18, 1
packdeps, 993, 16, 1
autoexporter, 994, 12, 1
cabal-dependency-licenses, 995, 12, 1
hdevtools, 996, 15, 1
ClustalParser, 997, 19, 1
shake, 998, 20, 4
ghcid, 999, 21, 1
hlint, 1000, 21, 3
derive, 1001, 21, 3
hse-cpp, 1002, 13, 2
groom, 1003, 13, 2
hgettext, 1004, 19, 2
homplexity, 1005, 21, 1
Agda, 1006, 46, 1
pointful, 1007, 17, 1
hmatrix-special, 1008, 19, 2
hstatistics, 1009, 16, 2
hspec, 1010, 22, 15
hspec-smallcheck, 1011, 23, 3
hspec-contrib, 1012, 19, 1
ghcjs-hplay, 1013, 19, 1
mutable-containers, 1014, 19, 9
mighty-metropolis, 1015, 16, 2
flat-mcmc, 1016, 24, 1
graphviz, 1017, 26, 3
cabal-helper, 1018, 21, 4
atomic-write, 1019, 21, 1
mockery, 1020, 19, 1
messagepack-rpc, 1021, 18, 1
pipes-network, 1022, 21, 1
pipes-cliff, 1023, 25, 1
ascii-progress, 1024, 31, 2
dejafu, 1025, 24, 3
async-dejafu, 1026, 17, 1
monoid-extras, 1027, 17, 107
wl-pprint-extras, 1028, 21, 9
reducers, 1029, 22, 5
eq, 1030, 16, 1
groupoids, 1031, 16, 1
monad-products, 1032, 16, 1
semigroupoid-extras, 1033, 16, 1
random-source, 1034, 16, 11
relational-query, 1035, 20, 11
th-orphans, 1036, 21, 143
rainbow, 1037, 21, 5
xmonad, 1038, 24, 1
RSA, 1039, 22, 14
x509, 1040, 16, 3128
conduit, 1041, 18, 2905
streaming, 1042, 19, 2
leveldb-haskell, 1043, 28, 1
slave-thread, 1044, 19, 1
timemap, 1045, 21, 1
free, 1046, 26, 1918
foldl, 1047, 27, 17
product-profunctors, 1048, 21, 6
unbound-generics, 1049, 22, 5
profunctor-extras, 1050, 21, 1
zlib-lens, 1051, 22, 1
union, 1052, 22, 1
extensible, 1053, 25, 1
auto, 1054, 26, 1
invariant, 1055, 24, 1
text-show-instances, 1056, 41, 1
Workflow, 1057, 29, 2
cprng-aes, 1058, 14, 146
vhd, 1059, 23, 1
cryptocipher, 1060, 17, 1
crypto-pubkey, 1061, 19, 2
httpd-shed, 1062, 13, 1
tasty, 1063, 26, 28
yi-language, 1064, 37, 4
scalpel, 1065, 22, 2
ShellCheck, 1066, 19, 2
regex-tdfa-text, 1067, 13, 2
gravatar, 1068, 25, 1
oeis, 1069, 13, 1
ConfigFile, 1070, 23, 2
file-modules, 1071, 30, 2
tabular, 1072, 14, 2
protocol-buffers-descriptor, 1073, 17, 2
cgi, 1074, 20, 1
hsb2hs, 1075, 16, 1
hxt, 1076, 18, 51
hspec-expectations-pretty-diff, 1077, 17, 1
blaze-html, 1078, 10, 1028
hledger-lib, 1079, 31, 3
blaze-svg, 1080, 12, 3
pipes-bgzf, 1081, 25, 2
lucid-svg, 1082, 16, 1
cmark-lucid, 1083, 17, 1
smtp-mail, 1084, 22, 2
HaskellNet, 1085, 27, 2
hjsmin, 1086, 21, 6
list-prompt, 1087, 40, 1
aeson, 1088, 23, 2382
io-streams, 1089, 22, 23
parsers, 1090, 20, 38
email-validate, 1091, 14, 49
websockets, 1092, 24, 20
bytestring-conversion, 1093, 15, 152
cassava, 1094, 16, 15
timerep, 1095, 17, 8
configurator, 1096, 19, 7
uri-bytestring, 1097, 15, 8
pipes-attoparsec, 1098, 19, 7
http-date, 1099, 14, 219
openpgp-asciiarmor, 1100, 16, 4
network-attoparsec, 1101, 26, 3
css-text, 1102, 14, 45
cron, 1103, 19, 3
hw-parser, 1104, 23, 2
irc, 1105, 14, 4
attoparsec-binary, 1106, 14, 2
pcre-utils, 1107, 16, 2
IPv6Addr, 1108, 21, 2
th-printf, 1109, 17, 2
sqlite-simple, 1110, 19, 2
ini, 1111, 15, 4
attoparsec-expr, 1112, 14, 1
vado, 1113, 18, 1
hostname-validate, 1114, 14, 1
cases, 1115, 19, 1
dataurl, 1116, 15, 1
Spintax, 1117, 20, 1
semver, 1118, 14, 1
hweblib, 1119, 15, 1
smallcaps, 1120, 26, 1
hbeanstalk, 1121, 16, 1
hspec-attoparsec, 1122, 16, 1
libmpd, 1123, 20, 1
text-ldap, 1124, 17, 1
makefile, 1125, 14, 1
css-syntax, 1126, 14, 1
language-thrift, 1127, 24, 1
versions, 1128, 22, 1
hspec-megaparsec, 1129, 23, 1
dotenv, 1130, 29, 1
log-domain, 1131, 34, 5
bits, 1132, 21, 1
wai, 1133, 17, 986
http-client, 1134, 34, 554
web-routes, 1135, 22, 99
s3-signer, 1136, 19, 1
wai-cors, 1137, 18, 1
dbus, 1138, 20, 2
test-framework-hunit, 1139, 19, 4
test-framework-quickcheck2, 1140, 19, 4
test-framework-smallcheck, 1141, 22, 1
test-framework-th, 1142, 27, 1
download, 1143, 16, 1
shelly, 1144, 29, 3
hit, 1145, 30, 2
biocore, 1146, 10, 14
basic-prelude, 1147, 22, 9
gtk3, 1148, 19, 4
gtk, 1149, 19, 4
courier, 1150, 23, 1
formatting, 1151, 18, 2
text-all, 1152, 32, 1
Unixutils, 1153, 38, 1
pdfinfo, 1154, 27, 1
language-lua2, 1155, 32, 1
HDBC-session, 1156, 16, 5
OpenGL, 1157, 16, 10
cryptol, 1158, 45, 1
quickcheck-combinators, 1159, 19, 2
hackage-whatsnew, 1160, 23, 1
cabal-install, 1161, 31, 1
shake-language-c, 1162, 28, 1
compdata, 1163, 26, 2
hsignal, 1164, 22, 1
hspec-jenkins, 1165, 28, 1
monad-unlift-ref, 1166, 33, 1
darcs, 1167, 57, 1
hunit-dejafu, 1168, 26, 1
dual-tree, 1169, 19, 51
HaTeX, 1170, 29, 3
wl-pprint-terminfo, 1171, 23, 2
rvar, 1172, 18, 5
relational-schemas, 1173, 21, 5
haskell-src-meta, 1174, 22, 98
th-desugar, 1175, 22, 37
th-utilities, 1176, 25, 3
rainbox, 1177, 22, 2
prednote, 1178, 28, 1
google-oauth2-jwt, 1179, 30, 1
x509-store, 1180, 20, 1563
pkcs10, 1181, 17, 1
conduit-extra, 1182, 37, 1234
binary-conduit, 1183, 23, 4
cereal-conduit, 1184, 21, 7
fsnotify-conduit, 1185, 28, 1
withdependencies, 1186, 19, 1
conduit-iconv, 1187, 20, 1
fold-debounce-conduit, 1188, 23, 1
streaming-bytestring, 1189, 21, 1
either, 1190, 33, 28
adjunctions, 1191, 27, 699
keys, 1192, 28, 25
pipes-group, 1193, 30, 26
ghc-exactprint, 1194, 32, 3
Rasterific, 1195, 41, 4
static-canvas, 1196, 30, 2
ad, 1197, 31, 2
range, 1198, 30, 1
ChannelT, 1199, 29, 1
turtle, 1200, 45, 2
pipes-extras, 1201, 31, 1
sampling, 1202, 28, 1
nonce, 1203, 19, 19
clientsession, 1204, 26, 120
tasty-hunit, 1205, 27, 4
tasty-smallcheck, 1206, 30, 4
tasty-quickcheck, 1207, 27, 4
tasty-kat, 1208, 27, 1
tasty-ant-xml, 1209, 32, 1
tasty-rerun, 1210, 40, 1
tasty-expected-failure, 1211, 27, 1
tasty-program, 1212, 27, 1
tasty-silver, 1213, 40, 1
tasty-th, 1214, 30, 1
tasty-golden, 1215, 32, 1
tasty-dejafu, 1216, 42, 1
wikicfp-scraper, 1217, 29, 1
language-dockerfile, 1218, 44, 1
hprotoc, 1219, 24, 1
hxt-pickle-utils, 1220, 19, 7
generic-xmlpickler, 1221, 23, 8
hxt-http, 1222, 20, 2
hxt-css, 1223, 20, 1
gl, 1224, 22, 1
vcswrapper, 1225, 21, 1
happstack-server, 1226, 41, 73
highlighting-kate, 1227, 16, 7
taggy, 1228, 18, 2
webpage, 1229, 25, 1
ace, 1230, 26, 1
tasty-html, 1231, 34, 1
xmlhtml, 1232, 16, 1
blaze-bootstrap, 1233, 11, 1
reform-blaze, 1234, 14, 1
hledger, 1235, 40, 1
hledger-interest, 1236, 34, 1
pipes-illumina, 1237, 26, 1
yaml, 1238, 38, 36
shakespeare, 1239, 35, 184
postgresql-simple, 1240, 30, 15
aeson-pretty, 1241, 25, 209
path, 1242, 28, 20
hexstring, 1243, 25, 32
pandoc-types, 1244, 24, 11
base58string, 1245, 24, 19
statistics, 1246, 38, 12
aeson-better-errors, 1247, 27, 4
generic-aeson, 1248, 25, 36
aeson-utils, 1249, 24, 7
sourcemap, 1250, 29, 14
users, 1251, 35, 3
twitter-types, 1252, 24, 4
base32string, 1253, 24, 2
thyme, 1254, 33, 2
aeson-generic-compat, 1255, 24, 2
binary-tagged, 1256, 31, 2
ekg-json, 1257, 25, 2
hworker, 1258, 41, 2
jwt, 1259, 39, 8
simple-templates, 1260, 24, 3
github-types, 1261, 25, 2
postgresql-binary, 1262, 50, 2
aeson-compat, 1263, 32, 61
Spock-api, 1264, 28, 2
hruby, 1265, 25, 2
hjsonpointer, 1266, 25, 2
descriptive, 1267, 29, 2
aeson-casing, 1268, 24, 2
rethinkdb-client-driver, 1269, 28, 1
profiteur, 1270, 25, 1
elm-bridge, 1271, 24, 1
find-clumpiness, 1272, 47, 1
ndjson-conduit, 1273, 33, 1
swagger, 1274, 25, 1
microlens-aeson, 1275, 25, 1
haskell-names, 1276, 35, 1
stackage-types, 1277, 34, 1
stache, 1278, 31, 1
HTF, 1279, 46, 1
rethinkdb, 1280, 34, 1
binary-orphans, 1281, 28, 1
forecast-io, 1282, 24, 1
haskell-packages, 1283, 39, 1
envelope, 1284, 24, 1
arbtt, 1285, 36, 1
stripe-core, 1286, 25, 1
doctest-discover, 1287, 31, 1
hpc-coveralls, 1288, 47, 1
snap-core, 1289, 36, 4
pdf-toolbox-core, 1290, 27, 4
openssl-streams, 1291, 24, 2
io-streams-haproxy, 1292, 23, 3
conduit-parse, 1293, 36, 15
inline-c, 1294, 34, 3
time-parsers, 1295, 25, 1
check-email, 1296, 15, 1
tidal, 1297, 43, 1
servant, 1298, 40, 143
redis-resp, 1299, 22, 2
http-link-header, 1300, 23, 1
cassava-megaparsec, 1301, 25, 1
pipes-csv, 1302, 21, 1
angel, 1303, 29, 1
network-anonymous-i2p, 1304, 35, 1
xss-sanitize, 1305, 17, 39
netpbm, 1306, 22, 1
ip6addr, 1307, 26, 1
vectortiles, 1308, 24, 1
wai-logger, 1309, 25, 309
wai-websockets, 1310, 30, 9
wai-middleware-caching, 1311, 18, 3
wai-session, 1312, 24, 3
wai-conduit, 1313, 31, 2
wai-eventsource, 1314, 18, 2
pipes-wai, 1315, 22, 1
wai-middleware-static, 1316, 30, 1
wai-middleware-throttle, 1317, 20, 1
wai-middleware-prometheus, 1318, 32, 1
wai-middleware-metrics, 1319, 20, 1
wai-request-spec, 1320, 18, 1
authenticate-oauth, 1321, 52, 12
webdriver, 1322, 53, 3
http-client-openssl, 1323, 36, 2
hsebaysdk, 1324, 45, 1
bloodhound, 1325, 49, 1
web-routes-th, 1326, 24, 28
web-routes-hsp, 1327, 24, 13
uuid-orphans, 1328, 33, 7
web-routes-boomerang, 1329, 24, 8
web-routes-wai, 1330, 28, 1
crypto-api-tests, 1331, 29, 1
crypto-cipher-tests, 1332, 28, 1
biofasta, 1333, 11, 3
bioalign, 1334, 11, 2
blastxml, 1335, 13, 2
biopsl, 1336, 19, 1
seqloc, 1337, 18, 1
biofastq, 1338, 11, 1
gtksourceview3, 1339, 20, 1
bustle, 1340, 41, 1
webkitgtk3, 1341, 20, 1
libnotify, 1342, 20, 2
GLUT, 1343, 19, 5
ltext, 1344, 40, 1
hatex-guide, 1345, 36, 1
haskintex, 1346, 44, 1
random-fu, 1347, 49, 4
relational-query-HDBC, 1348, 29, 4
jmacro, 1349, 43, 44
hsx2hs, 1350, 32, 37
aeson-qq, 1351, 33, 8
interpolate, 1352, 23, 3
here, 1353, 24, 1
QuasiText, 1354, 26, 1
codo-notation, 1355, 29, 1
interpolatedstring-perl6, 1356, 23, 1
singletons, 1357, 23, 34
store, 1358, 67, 2
x509-validation, 1359, 23, 671
x509-system, 1360, 22, 222
xml-conduit, 1361, 48, 370
monad-logger, 1362, 44, 371
conduit-combinators, 1363, 49, 22
cryptohash-conduit, 1364, 42, 8
project-template, 1365, 39, 3
imagesize-conduit, 1366, 38, 2
bzlib-conduit, 1367, 46, 2
cryptonite-conduit, 1368, 40, 1
serf, 1369, 39, 1
pager, 1370, 41, 1
shell-conduit, 1371, 43, 1
haskell-spacegoo, 1372, 50, 1
cassava-conduit, 1373, 45, 1
editor-open, 1374, 40, 1
optparse-simple, 1375, 41, 3
haskoin-core, 1376, 65, 2
monad-journal, 1377, 34, 3
validate-input, 1378, 41, 1
jose-jwt, 1379, 48, 1
objective, 1380, 39, 1
hapistrano, 1381, 39, 1
ical, 1382, 45, 1
rebase, 1383, 50, 1
kan-extensions, 1384, 28, 559
universe-instances-extended, 1385, 30, 2
machines, 1386, 30, 1
streams, 1387, 28, 1
vector-instances, 1388, 33, 17
sets, 1389, 38, 4
result, 1390, 29, 1
pipes-bytestring, 1391, 31, 14
apply-refact, 1392, 41, 1
uncertain, 1393, 37, 1
turtle-options, 1394, 47, 1
serversession, 1395, 41, 4
tasty-hspec, 1396, 43, 2
HandsomeSoup, 1397, 21, 1
web-routes-happstack, 1398, 46, 14
reform-happstack, 1399, 44, 8
happstack-server-tls, 1400, 43, 6
happstack-clientsession, 1401, 59, 1
cmark-highlight, 1402, 18, 1
hpack, 1403, 41, 2
stylish-haskell, 1404, 49, 1
ua-parser, 1405, 47, 1
hpack-convert, 1406, 43, 1
b9, 1407, 75, 1
tttool, 1408, 57, 1
frontmatter, 1409, 39, 1
configuration-tools, 1410, 55, 1
mustache, 1411, 56, 1
hamlet, 1412, 36, 2
reform-hamlet, 1413, 37, 1
opaleye, 1414, 47, 3
postgresql-simple-url, 1415, 34, 1
drifter-postgresql, 1416, 52, 1
postgresql-schema, 1417, 54, 1
postgresql-transactional, 1418, 35, 1
psql-helpers, 1419, 31, 1
hspec-golden-aeson, 1420, 43, 2
http2, 1421, 35, 197
glabrous, 1422, 47, 1
path-io, 1423, 33, 5
path-extra, 1424, 29, 6
irc-dcc, 1425, 46, 2
ignore, 1426, 32, 1
texmath, 1427, 27, 5
bitcoin-types, 1428, 27, 15
criterion, 1429, 52, 9
hbayes, 1430, 59, 1
hquantlib, 1431, 48, 1
bower-json, 1432, 28, 2
json-schema, 1433, 27, 28
fay, 1434, 61, 12
users-test, 1435, 51, 1
users-postgresql-simple, 1436, 45, 1
network-anonymous-tor, 1437, 40, 1
json-rpc-generic, 1438, 25, 1
github-webhook-handler, 1439, 34, 1
hasql, 1440, 64, 1
hjsonschema, 1441, 61, 1
hindent, 1442, 39, 1
graylog, 1443, 28, 1
pdf-toolbox-content, 1444, 29, 2
http-streams, 1445, 39, 1
snap-server, 1446, 41, 2
hocilib, 1447, 35, 1
inline-c-cpp, 1448, 35, 1
servant-blaze, 1449, 43, 3
servant-lucid, 1450, 42, 1
servant-cassava, 1451, 42, 1
servant-yaml, 1452, 53, 1
redis-io, 1453, 47, 1
wai-extra, 1454, 64, 180
http-reverse-proxy, 1455, 56, 4
wai-transformers, 1456, 38, 4
wai-middleware-caching-lru, 1457, 24, 1
wai-middleware-caching-redis, 1458, 32, 1
wai-session-postgresql, 1459, 52, 1
webdriver-angular, 1460, 56, 1
hspec-webdriver, 1461, 68, 1
userid, 1462, 41, 13
Genbank, 1463, 21, 1
bioace, 1464, 15, 1
osdkeys, 1465, 44, 1
gloss-rendering, 1466, 21, 2
hPDB-examples, 1467, 41, 1
misfortune, 1468, 56, 1
dice, 1469, 51, 1
wordpass, 1470, 54, 1
persistable-types-HDBC-pg, 1471, 31, 2
hsx-jmacro, 1472, 45, 14
happstack-jmacro, 1473, 68, 13
jmacro-rpc, 1474, 52, 2
happstack-hsp, 1475, 57, 14
reform-hsp, 1476, 35, 8
ghc-typelits-knownnat, 1477, 27, 10
inline-r, 1478, 42, 2
type-list, 1479, 24, 1
wai-predicates, 1480, 40, 1
tls, 1481, 27, 444
haskell-gi, 1482, 55, 198
xml-conduit-parse, 1483, 58, 7
tagstream-conduit, 1484, 50, 26
xml-conduit-writer, 1485, 49, 4
markdown, 1486, 53, 2
xml-hamlet, 1487, 56, 2
xlsior, 1488, 53, 1
persistent, 1489, 60, 157
omnifmt, 1490, 65, 2
monad-logger-prefix, 1491, 45, 1
monad-logger-syslog, 1492, 46, 1
postgresql-query, 1493, 88, 1
monad-logger-json, 1494, 51, 1
gitlib, 1495, 52, 5
stm-conduit, 1496, 55, 6
gitson, 1497, 62, 1
thumbnail-plus, 1498, 62, 1
bitcoin-payment-channel, 1499, 72, 1
ghc-mod, 1500, 67, 2
lens, 1501, 37, 557
effect-handlers, 1502, 29, 1
universe, 1503, 33, 1
mono-traversable-instances, 1504, 43, 8
these, 1505, 43, 1
rose-trees, 1506, 45, 2
pipes-text, 1507, 47, 7
pipes-fastx, 1508, 39, 1
pipes-aeson, 1509, 44, 1
serversession-backend-acid-state, 1510, 51, 1
serversession-frontend-wai, 1511, 53, 1
htoml, 1512, 58, 1
opaleye-trans, 1513, 50, 1
servant-aeson-specs, 1514, 59, 1
warp, 1515, 53, 196
plan-b, 1516, 34, 2
urlpath, 1517, 53, 4
pandoc, 1518, 72, 4
hw-bits, 1519, 63, 6
rest-stringmap, 1520, 39, 13
fay-base, 1521, 62, 7
fay-builder, 1522, 63, 1
pdf-toolbox-document, 1523, 42, 1
ekg, 1524, 52, 1
cheapskate, 1525, 76, 4
solga, 1526, 66, 2
simple, 1527, 69, 2
hspec-wai, 1528, 74, 2
fn, 1529, 65, 1
airship, 1530, 86, 1
gloss, 1531, 22, 1
relational-record, 1532, 32, 1
jmacro-rpc-happstack, 1533, 71, 1
ghc-typelits-extra, 1534, 28, 9
H, 1535, 46, 1
connection, 1536, 32, 219
mongoDB, 1537, 53, 2
tls-debug, 1538, 31, 1
tcp-streams, 1539, 42, 1
gi-glib, 1540, 56, 94
gi-cairo, 1541, 56, 8
gi-javascriptcore, 1542, 56, 2
rss-conduit, 1543, 79, 2
opml-conduit, 1544, 80, 2
atom-conduit, 1545, 79, 2
html-conduit, 1546, 51, 4
soap, 1547, 60, 3
persistent-template, 1548, 65, 60
persistent-sqlite, 1549, 61, 3
persistent-postgresql, 1550, 65, 1
emailaddress, 1551, 81, 1
persistent-redis, 1552, 65, 1
slug, 1553, 61, 1
git-fmt, 1554, 66, 1
gitlib-test, 1555, 63, 1
gitlib-libgit2, 1556, 65, 2
HaRe, 1557, 79, 1
gogol-core, 1558, 79, 97
lens-aeson, 1559, 44, 24
linear, 1560, 42, 85
servant-foreign, 1561, 60, 6
insert-ordered-containers, 1562, 45, 10
bitcoin-tx, 1563, 53, 8
strict-base-types, 1564, 46, 4
servant-docs, 1565, 62, 3
Chart, 1566, 43, 3
purescript-bridge, 1567, 41, 4
trifecta, 1568, 51, 3
language-nix, 1569, 44, 4
hOpenPGP, 1570, 90, 2
api-field-json-th, 1571, 45, 2
xml-lens, 1572, 68, 2
cacophony, 1573, 43, 2
hasty-hamiltonian, 1574, 44, 2
speedy-slice, 1575, 44, 2
yi, 1576, 77, 2
werewolf, 1577, 62, 2
validation, 1578, 38, 2
twitter-types-lens, 1579, 46, 2
xlsx, 1580, 79, 2
docvim, 1581, 49, 1
pinchot, 1582, 46, 1
generics-sop-lens, 1583, 39, 1
metrics, 1584, 43, 1
taggy-lens, 1585, 44, 1
jose, 1586, 63, 1
lens-datetime, 1587, 39, 1
stratosphere, 1588, 46, 1
json-autotype, 1589, 51, 1
random-tree, 1590, 43, 1
ersatz, 1591, 49, 1
timelens, 1592, 39, 1
accuerr, 1593, 38, 1
lens-action, 1594, 38, 1
bson-lens, 1595, 46, 1
zippers, 1596, 38, 1
lens-regex, 1597, 39, 1
boundingboxes, 1598, 38, 1
monoidal-containers, 1599, 39, 1
zoom-refs, 1600, 38, 1
text-region, 1601, 46, 1
classy-prelude, 1602, 60, 7
tries, 1603, 48, 1
fasta, 1604, 63, 4
yesod-core, 1605, 103, 116
wai-app-static, 1606, 81, 21
warp-tls, 1607, 69, 5
scotty, 1608, 75, 7
Spock-core, 1609, 76, 5
bake, 1610, 76, 1
bimap-server, 1611, 58, 1
zip, 1612, 60, 1
markup, 1613, 60, 1
wai-middleware-content-type, 1614, 99, 2
pandoc-citeproc, 1615, 83, 1
hw-conduit, 1616, 66, 2
hw-rankselect, 1617, 64, 2
rest-types, 1618, 48, 7
fay-dom, 1619, 63, 2
fay-text, 1620, 63, 2
fay-uri, 1621, 63, 1
cheapskate-lucid, 1622, 78, 1
cheapskate-highlight, 1623, 79, 1
simple-session, 1624, 74, 1
hspec-wai-json, 1625, 84, 1
clash-prelude, 1626, 60, 8
http-client-tls, 1627, 51, 199
network-conduit-tls, 1628, 67, 6
wuss, 1629, 46, 1
eventstore, 1630, 70, 1
amqp, 1631, 44, 1
pipes-mongodb, 1632, 56, 1
gi-gobject, 1633, 57, 47
soap-openssl, 1634, 63, 1
gipeda, 1635, 82, 1
gogol-sqladmin, 1636, 80, 1
gogol-pagespeed, 1637, 80, 1
gogol-civicinfo, 1638, 80, 1
gogol-dataflow, 1639, 80, 1
gogol-adexchange-seller, 1640, 80, 1
gogol-android-enterprise, 1641, 80, 1
gogol-sheets, 1642, 80, 1
gogol-plus, 1643, 80, 1
gogol-appstate, 1644, 80, 1
gogol-classroom, 1645, 80, 1
gogol-play-moviespartner, 1646, 80, 1
gogol-billing, 1647, 80, 1
gogol-apps-calendar, 1648, 80, 1
gogol-cloudmonitoring, 1649, 80, 1
gogol-genomics, 1650, 80, 1
gogol-tagmanager, 1651, 80, 1
gogol-discovery, 1652, 80, 1
gogol-shopping-content, 1653, 80, 1
gogol-deploymentmanager, 1654, 80, 1
gogol-appengine, 1655, 80, 1
gogol-customsearch, 1656, 80, 1
gogol-datastore, 1657, 80, 1
gogol-admin-reports, 1658, 80, 1
gogol-latencytest, 1659, 80, 1
gogol-container, 1660, 80, 1
gogol-kgsearch, 1661, 80, 1
gogol-vision, 1662, 80, 1
gogol-urlshortener, 1663, 80, 1
gogol-translate, 1664, 80, 1
gogol-groups-migration, 1665, 80, 1
gogol-proximitybeacon, 1666, 80, 1
gogol-gmail, 1667, 80, 1
gogol-apps-licensing, 1668, 80, 1
gogol-apps-activity, 1669, 80, 1
gogol-maps-engine, 1670, 80, 1
gogol-plus-domains, 1671, 80, 1
gogol-admin-emailmigration, 1672, 80, 1
gogol-blogger, 1673, 80, 1
gogol-replicapool-updater, 1674, 80, 1
gogol-storage, 1675, 80, 1
gogol-fonts, 1676, 80, 1
gogol-youtube-reporting, 1677, 80, 1
gogol-people, 1678, 80, 1
gogol-debugger, 1679, 80, 1
gogol-games-configuration, 1680, 80, 1
gogol-drive, 1681, 80, 1
gogol-apps-tasks, 1682, 80, 1
gogol-adsense, 1683, 80, 1
gogol-useraccounts, 1684, 80, 1
gogol-script, 1685, 80, 1
gogol-replicapool, 1686, 80, 1
gogol-doubleclick-search, 1687, 80, 1
gogol-groups-settings, 1688, 80, 1
gogol-affiliates, 1689, 80, 1
gogol-freebasesearch, 1690, 80, 1
gogol-mirror, 1691, 80, 1
gogol-admin-datatransfer, 1692, 80, 1
gogol-firebase-rules, 1693, 80, 1
gogol-dns, 1694, 80, 1
gogol-storage-transfer, 1695, 80, 1
gogol-identity-toolkit, 1696, 80, 1
gogol-taskqueue, 1697, 80, 1
gogol-apps-reseller, 1698, 80, 1
gogol-adexchange-buyer, 1699, 80, 1
gogol-doubleclick-bids, 1700, 80, 1
gogol-maps-coordinate, 1701, 80, 1
gogol-dfareporting, 1702, 80, 1
gogol-siteverification, 1703, 80, 1
gogol-autoscaler, 1704, 80, 1
gogol-spectrum, 1705, 80, 1
gogol-games-management, 1706, 80, 1
gogol-webmaster-tools, 1707, 80, 1
gogol-prediction, 1708, 80, 1
gogol-dataproc, 1709, 80, 1
gogol-bigquery, 1710, 80, 1
gogol-resourcemanager, 1711, 80, 1
gogol-books, 1712, 80, 1
gogol-adsense-host, 1713, 80, 1
gogol-fitness, 1714, 80, 1
gogol-youtube, 1715, 80, 1
gogol-qpxexpress, 1716, 80, 1
gogol-oauth2, 1717, 80, 1
gogol-cloudtrace, 1718, 80, 1
gogol-pubsub, 1719, 80, 1
gogol-partners, 1720, 80, 1
gogol-monitoring, 1721, 80, 1
gogol-logging, 1722, 80, 1
gogol-admin-directory, 1723, 80, 1
gogol-compute, 1724, 80, 1
gogol-analytics, 1725, 80, 1
gogol-youtube-analytics, 1726, 80, 1
gogol-android-publisher, 1727, 80, 1
gogol-fusiontables, 1728, 80, 1
gogol-resourceviews, 1729, 80, 1
gogol-games, 1730, 80, 1
moesocks, 1731, 64, 1
pagerduty, 1732, 71, 1
diagrams-core, 1733, 47, 33
svg-tree, 1734, 47, 4
active, 1735, 43, 18
force-layout, 1736, 44, 3
units, 1737, 59, 2
smoothie, 1738, 48, 1
linear-accelerate, 1739, 46, 1
lackey, 1740, 61, 1
swagger2, 1741, 53, 6
bitcoin-block, 1742, 55, 4
filecache, 1743, 51, 2
Chart-cairo, 1744, 46, 1
ede, 1745, 62, 1
idris, 1746, 112, 1
distribution-nixpkgs, 1747, 52, 2
pipes-cacophony, 1748, 46, 1
declarative, 1749, 47, 1
yi-fuzzy-open, 1750, 78, 1
xlsx-tabular, 1751, 83, 1
classy-prelude-conduit, 1752, 78, 4
blosum, 1753, 74, 1
modify-fasta, 1754, 77, 1
diversity, 1755, 72, 1
yesod-persistent, 1756, 112, 47
yesod-newsfeed, 1757, 106, 3
yesod-gitrev, 1758, 105, 1
serversession-frontend-yesod, 1759, 106, 1
yesod-eventsource, 1760, 105, 1
yesod-gitrepo, 1761, 106, 1
yesod-sitemap, 1762, 106, 1
yesod-table, 1763, 105, 1
yesod-websockets, 1764, 108, 1
yesod-test, 1765, 121, 1
servant-server, 1766, 94, 9
yesod-static, 1767, 117, 5
servius, 1768, 97, 1
waitra, 1769, 83, 1
MFlow, 1770, 112, 1
kansas-comet, 1771, 76, 3
microformats2-parser, 1772, 127, 1
